date,nevada_avg_price
2019-10-01,3.4189918070561727
2019-11-01,3.298671187070407
2019-12-01,3.1412057651915695
2020-01-01,2.996256262461483
2020-02-01,2.9298997939106433
2020-03-01,2.7928814281035046
2020-04-01,2.4342942073170732
2020-05-01,2.366302364989317
2020-06-01,2.5480747824782477
2020-07-01,2.639875130710706
2020-08-01,2.6647965457933207
2020-09-01,2.670602797827219
2020-10-01,2.6301378516440033
2020-11-01,2.5959384098544236
2020-12-01,2.582907388880949
2021-01-01,2.694667930738409
2021-02-01,2.8537735589218967
2021-03-01,3.212391523819539
2021-04-01,3.39788084692665
2021-05-01,3.575159122562674
2021-06-01,3.67439039039039
2021-07-01,3.864511336227689
2021-08-01,4.045056869739895
2021-09-01,3.9617729951777108
2021-10-01,3.90160028429775
2021-11-01,3.9660936101664577
2021-12-01,3.8766917508359473
2022-01-01,3.8142029635813417
2022-02-01,3.9176179698216735
2022-03-01,4.91941530389752
2022-04-01,5.107148806500762
2022-05-01,5.190013547927066
2022-06-01,5.583777191642952
2022-07-01,5.291967088779034
2022-08-01,4.939657841552142
2022-09-01,4.978653726169844
2022-10-01,5.247485307482581
2022-11-01,4.877718973496004
2022-12-01,4.166943593385412
2023-01-01,3.9654550988304496
2023-02-01,4.1508673929376405
2023-03-01,4.278984397259345
2023-04-01,4.253723753051971
2023-05-01,4.237996436256052
2023-06-01,4.257049538812312
2023-07-01,4.2310539502929885
2023-08-01,4.41612864012824
2023-09-01,4.858286536628291
2023-10-01,4.794354270521768
2023-11-01,4.335902694507615
2023-12-01,3.9800184477314273
2024-01-01,3.8363599435066247
2024-02-01,3.900753214285714
2024-03-01,4.21170057594428
2024-04-01,4.591077581211439
2024-05-01,4.407114010490549
2024-06-01,4.083708679735879
2024-07-01,3.9991154405927496
2024-08-01,3.957724814596049
2024-09-01,3.977757763975155
2024-10-01,3.8791645212137134
2024-11-01,3.7447055886175526
2024-12-01,3.622380741816262
2025-01-01,3.64506518861681
2025-02-01,3.8148423853612305
2025-03-01,3.776792254795512
2025-04-01,3.9269950911169387
2025-05-01,3.8093347689898196
